prompt_id,response
p1,Paris is the capital of France.
p2,Einstein's theory of relativity is about gravity's effect on space and time.
p3,Chocolate cake requires mixing basic ingredients and baking them.
p4,"It's approximately 384,400 kilometers to the Moon."
p5,Plants convert sunlight into energy and oxygen through photosynthesis.
p6,Meditation can reduce stress and improve mental well-being.
p7,Computers operate using a combination of hardware and software.
p8,"Water evaporates, forms clouds, falls as rain, and collects in bodies of water."
p9,The internet started as a military project and became a global network.
p10,CPR is a life-saving technique involving chest compressions and breaths.
