prompt_id,prompt,response
p1,What is the capital of France?,The capital of France is Paris.
p2,Explain the theory of relativity.,"The theory of relativity, proposed by Einstein, explains the laws of gravity and the relation between space and time."
p3,How do you bake a chocolate cake?,"To bake a chocolate cake, mix flour, sugar, cocoa, baking powder, eggs, milk and oil, and bake it in an oven."
p4,What's the distance from the Earth to the Moon?,"The distance from the Earth to the Moon is about 384,400 km."
p5,Describe the process of photosynthesis.,Photosynthesis is the process by which green plants and some other organisms use sunlight to synthesize nutrients from carbon dioxide and water.
p6,What are the benefits of meditation?,"Meditation helps in reducing stress, improving concentration, and fostering a sense of peace."
p7,How does a computer work?,A computer works by processing data through its hardware and software components.
p8,Explain the water cycle.,"The water cycle involves evaporation, condensation, precipitation, and collection."
p9,What is the history of the internet?,The internet began in the 1960s as a way for government researchers to share information. It expanded to a public service in the 1990s.
p10,Describe how to perform CPR.,CPR involves chest compressions and rescue breaths to help a person whose heart has stopped.
